last_name,first_name,end_title,end_date,start_title,start_date
Aamodt,Abdelkader,"Senior Engineer",2000-01-02,"Senior Engineer",1994-12-02
Aamodt,Adhemar,Engineer,9999-01-01,"Assistant Engineer",1996-10-26
Aamodt,Aemilian,"Senior Staff",9999-01-01,Staff,1988-04-21
Aamodt,Alagu,Engineer,9999-01-01,Engineer,1998-10-25
Aamodt,Aleksander,"Senior Engineer",9999-01-01,Engineer,1990-06-22
Aamodt,Alexius,"Senior Staff",9999-01-01,Staff,1994-12-30
Aamodt,Alois,Staff,9999-01-01,Staff,1995-08-24
Aamodt,Aluzio,Engineer,9999-01-01,Engineer,1998-02-15
Aamodt,Amabile,"Senior Staff",9999-01-01,Staff,1993-02-06
Aamodt,Anestis,"Senior Engineer",9999-01-01,Engineer,1992-05-26
Aamodt,Anoosh,"Senior Engineer",9999-01-01,Engineer,1987-02-21
Aamodt,Anwar,"Technique Leader",9999-01-01,"Technique Leader",1989-12-06
Aamodt,Arlette,"Senior Staff",9999-01-01,Staff,1990-01-16
Aamodt,Arumugam,"Senior Staff",9999-01-01,Staff,1986-01-09
Aamodt,Arunachalam,"Senior Engineer",9999-01-01,"Senior Engineer",1990-08-11
Aamodt,Arvind,Engineer,1996-03-10,Engineer,1988-01-22
Aamodt,Ashish,"Technique Leader",1996-05-17,"Technique Leader",1996-01-26
Aamodt,Baoqiu,Staff,1996-09-08,Staff,1992-02-02
Aamodt,Bartek,"Senior Staff",9999-01-01,Staff,1991-06-12
Aamodt,Basant,Engineer,1997-08-24,Engineer,1994-07-14
